startup_id,__index,address1,address2,city,country_code,description,latitude,longitude,state_code,zip_code
"52cdef7c4bab8bd675297d8a","0","710 - 2nd Avenue","Suite 1100","Seattle","USA","","47.603122","-122.333253","WA","98104"
"52cdef7c4bab8bd675297d8a","1","270 Lafayette Street","Suite 505","New York","USA","","40.7237306","-73.9964312","NY","10012"
