startup_id,acquired_day,acquired_month,acquired_year,__index,name,permalink,price_amount,price_currency_code,source_description,source_url,term_code
"52cdef7c4bab8bd675297d8a","16","12","2013",,,,,,,,
"52cdef7c4bab8bd675297d8a",,,,"0","Viggle","viggle","30000000","USD","Viggle Tries to Bulk Up Its Social TV Business by Buying Wetpaint","http://allthingsd.com/20131216/viggle-tries-to-bulk-up-its-social-tv-business-by-buying-wetpaint/?mod=atdtweet","cash_and_stock"
