startup_id,__index,description,source_description,source_text,source_url,stoneable_type,stoned_acquirer,stoned_day,stoned_month,stoned_value,stoned_value_type,stoned_year,id
"52cdef7c4bab8bd675297d8a","0","Wetpaint named in Lead411's Hottest Seattle Companies list","LEAD411 LAUNCHES "HOTTEST SEATTLE COMPANIES" AWARDS",,"http://www.lead411.com/seattle-companies.html","Company",,"8","6",,,"2010","c1c390a9-eeec-4be0-86db-0d0e0012f586"
"52cdef7c4bab8bd675297d8a","1","Site-Builder Wetpaint Makes One For Itself, Using the Demand Media Playbook","All Things D",,"http://mediamemo.allthingsd.com/20100906/site-builder-wetpaint-makes-one-for-itself-using-the-demand-media-playbook/","Company",,"6","9",,,"2010","f40095e3-c5b6-48fc-afb5-700affafd799"
